train,
[],[]
[-10],[0]
[-1],[0]
[0],[0]
[1],[1]
[10],[10]
[-68],[0]
[834],[834]
[859],[859]
[-242],[0]
[947],[947]
[0 0],[0 0]
[0 1],[0 1]
[-1 0],[0 0]
[-90 -6],[0 0]
[-16 33],[0 33]
[412 111],[412 111]
[-484 -569 -905 -360 -59 -624 -667 -529 -613 -288 -804 -675 -601 -732 -244 -946 -500 -151 -669 -41 -443 -514 -92 -900 -545 -16 -776],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-328 -292 -464 -28 -353 -231 -273 -184 -273 -384 -618 -486 -852 -375 -383 -382 -611 -8 -529 -224 -258 -66],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-179 -799 -104 -505 -526 -724 -874 -169 -583 -506 -689 -963 -916 -555 -796 -863 -432 -37 -681 -480 -256 -810 -75 -772 -297 -20 -211 -895 -1 -261 -208 -485 -496 -260 -220 -910 -377 -859 -181 -684 -586 -710 -117],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-322 -472 -606 -498 -515 -973 -824 -902 -196 -147 -823 -908 -819 -993 -867 -430 -365 -765 -486 -804 -713 -96 -339 -775 -169 -993 -421 -203 -669 -488 -911 -522 -22 -803 -151 -406 -340 -191 -78 -966 -565 -636 -352],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-583 -391 -68 -515],[0 0 0 0]
[-922 -299 -421 -304 -634 -67 -757 -256 -186 -789 -781 -445 -677 -816 -557 -284 -792 -306],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-120 -197 -129 -600 -447 -515 -769 -235 -272 -524 -861 -321 -534 -490 -101 -613 -694 -287 -322 -871 -435 -557 -480 -129 -788 -750 -234 -727 -187 -226 -792 -687 -868 -781 -943 -831 -111 -587 -957 -788 -346 -707 -951 -358],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-966 -978 -91 -696 -580 -866 -274 -233 -559 -492 -682 -183 -658 -559 -123 -589 -992 -559 -724 -824 -552 -51 -285],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[-654 -69 -526 -68 -302 -672 -905 -485 -160 -915 -293 -477 -755 -552 -834 -80 -602 -336 -781 -745 -332 -708 -101 -607 -50 -878 -600 -883 -147 -842 -869 -953 -43 -796 -403],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
[442 904 178 535 783 636 694 495 757 32 105 681 327 224 206 60 876 758 130 482 148 132 127 23 972 63 442 366 689 486 125 687 293 846 156 631 739 230],[442 904 178 535 783 636 694 495 757 32 105 681 327 224 206 60 876 758 130 482 148 132 127 23 972 63 442 366 689 486 125 687 293 846 156 631 739 230]
[446 753 19 248 149],[446 753 19 248 149]
[619 704 4 839 265 745 853 528 306 369 865 773 853 306 304 718 447 938 488 632 947 57 6 750 647 20 681 437 129 262 424 396 385 695 93 632 977 882 90 329 494 113 846 743 203],[619 704 4 839 265 745 853 528 306 369 865 773 853 306 304 718 447 938 488 632 947 57 6 750 647 20 681 437 129 262 424 396 385 695 93 632 977 882 90 329 494 113 846 743 203]
[739 186 540 203 950 947 268 871 143 699 376 814 762 824],[739 186 540 203 950 947 268 871 143 699 376 814 762 824]
[813 844 531 864 896 241 793 544 831 365 381 796 529],[813 844 531 864 896 241 793 544 831 365 381 796 529]
[107 164 611 484 22 520 856 936 80 271 79 892 544 669 374 812 691 388 404 761 946 331 402 65 898 494 631 653 625 519 542],[107 164 611 484 22 520 856 936 80 271 79 892 544 669 374 812 691 388 404 761 946 331 402 65 898 494 631 653 625 519 542]
[712 399 333 829 0 864 570 296 927 864 843 353 161 207 311 299 818],[712 399 333 829 0 864 570 296 927 864 843 353 161 207 311 299 818]
[568 599 440 273 935 548 219 49 228 791 365 814 644 43 888 450 564 782 986 387 308 539 712 98],[568 599 440 273 935 548 219 49 228 791 365 814 644 43 888 450 564 782 986 387 308 539 712 98]
