train,,,
29,96,73,73
3,65,8,8
-8,-42,-37,-37
-81,84,85,84
-32,83,16,16
-25,45,-65,-25
35,-89,-87,-87
-37,11,-6,-6
69,-65,-86,-65
-19,-49,-92,-49
99,93,73,93
81,19,51,51
-12,81,-29,-12
-45,57,100,57
-14,-1,-61,-14
59,35,29,35
34,-43,0,0
-80,-2,25,-2
98,-15,48,48
-6,16,-96,-6
87,47,-5,47
66,100,-16,66
-81,54,-96,-81
-56,-98,5,-56
28,-38,71,28
-78,-39,67,-39
-41,30,80,30
43,-90,-33,-33
-15,83,11,11
-21,-2,-99,-21
99,-4,-75,-4
75,4,-94,4
26,96,-4,26
-37,-5,47,-5
-82,30,8,8
-32,68,96,68
-80,-48,-54,-54
81,33,22,33
70,-31,-34,-31
100,-82,24,24
-29,-38,-1,-29
36,55,-95,36
-26,38,0,0
-33,48,95,48
8,-90,67,8
-71,58,-61,-61
-74,-23,56,-23
23,-85,-32,-32
8,55,90,55
-31,61,-75,-31
-5,-95,4,-5
66,89,90,89
-87,44,-11,-11
-39,45,-61,-39
48,-9,0,0
30,-8,-70,-8
-50,-5,-21,-21
91,-10,-43,-10
-76,29,14,14
12,11,-14,11
67,67,-90,67
42,6,6,6
67,36,67,67
20,13,13,13
-40,-40,-47,-40
61,61,61,61
-71,-35,-71,-71
-61,-61,57,-61
48,71,48,48
62,36,36,36
-21,-28,-21,-21
-32,-50,-32,-32
-69,-82,-69,-69
36,36,-31,36
16,16,16,16
-74,-74,47,-74
-40,50,50,50
81,81,23,81
45,-60,45,45
-84,0,0,0
27,27,66,27
-35,71,-35,-35
86,86,100,86
0,14,0,0
-30,-76,-76,-76
-64,81,-64,-64
82,82,89,82
-62,-42,-62,-62
78,0,0,0
29,29,17,29
-27,-27,-27,-27
71,71,71,71
42,42,42,42
-35,-35,-35,-35
-46,-46,-46,-46
-34,-34,-34,-34
-55,-55,-55,-55
-44,-44,-44,-44
43,43,43,43
1,1,1,1
test,,,
-94,44,58,44
-69,98,-1,-1
58,-6,-52,-6
-22,-7,-68,-22
51,-76,-69,-69
-10,42,44,42
25,-62,-53,-53
-68,99,91,91
40,-65,43,40
-10,-57,-93,-57
42,55,-72,42
48,-60,63,48
-90,54,-5,-5
50,75,-36,50
-86,76,78,76
71,-100,100,71
60,68,64,64
17,45,53,45
41,-76,83,41
-14,16,19,16
15,52,-92,15
21,-52,-8,-8
-100,77,-18,-18
-21,-75,-70,-70
-81,5,-80,-80
-70,-98,7,-70
90,91,-65,90
69,-58,37,37
-77,-63,-44,-63
75,-83,97,75
16,-29,14,14
11,-87,14,11
-1,-4,60,-1
-79,-83,-96,-83
22,90,65,65
-92,-47,-66,-66
92,73,-20,73
-34,-25,-22,-25
-81,61,60,60
4,85,-85,4
-84,-34,40,-34
-23,86,7,7
-39,-82,19,-39
53,50,-98,50
-28,-10,4,-10
44,-70,-36,-36
-75,-75,-91,-75
8,53,15,15
57,72,-77,57
4,-73,65,4
16,9,-23,9
-45,-92,55,-45
-20,-42,13,-20
57,-35,56,56
-15,51,-85,-15
39,28,18,28
-19,1,-67,-19
42,36,63,42
-31,-32,13,-31
-54,56,-75,-54
-36,50,29,29
9,56,-77,9
-65,70,-72,-65
30,-67,73,30
-26,-57,55,-26
-17,-37,-41,-37
-85,-63,-61,-63
-61,-94,-91,-91
5,-14,-60,-14
-62,19,-75,-62
-75,-2,18,-2
34,-100,-78,-78
-48,-58,49,-48
83,-97,28,28
-72,45,-72,-72
12,54,-97,12
51,-9,70,51
-6,-42,-59,-42
96,43,45,45
2,-10,-100,-10
-50,-3,47,-3
-32,9,-52,-32
43,55,-65,43
54,25,30,30
40,58,100,58
81,-81,-57,-57
99,-45,25,25
32,25,2,25
-51,-85,-94,-85
-19,90,79,79
-40,66,99,66
27,68,33,33
58,50,-29,50
68,-25,53,53
57,0,-54,0
-29,-100,-58,-58
-81,-100,-19,-81
-44,-72,-22,-44
42,-18,-27,-18
-48,73,86,73
-63,-15,63,-15
46,64,53,53
9,-89,-74,-74
-32,-18,13,-18
2,-80,-1,-1
-15,73,-29,-15
-49,-69,-5,-49
-59,-2,-66,-59
50,-35,82,50
-13,32,-17,-13
68,-24,-10,-10
-71,-24,100,-24
43,-90,-11,-11
36,-58,67,36
-23,-15,-67,-23
71,-54,83,71
68,-86,3,3
28,-14,-58,-14
75,-46,70,70
-24,-73,50,-24
-73,-40,-42,-42
-20,33,-52,-20
-66,-70,4,-66
-70,-94,80,-70
15,79,43,43
-53,-23,9,-23
29,-34,41,29
-83,76,-68,-68
-78,99,-83,-78
-63,-84,41,-63
84,28,16,28
59,100,-36,59
93,24,3,24
12,-49,76,12
12,-38,-6,-6
7,-29,-26,-26
-11,99,50,50
19,72,10,19
28,5,54,28
-70,-46,-29,-46
26,-38,-31,-31
-78,-13,-97,-78
74,33,40,40
44,-81,70,44
28,-4,-18,-4
-9,-19,-97,-19
90,-27,-72,-27
-12,40,23,23
72,-53,-92,-53
16,20,-83,16
54,22,9,22
-70,100,87,87
85,14,10,14
-90,23,-52,-52
-1,32,-89,-1
23,-17,74,23
-38,2,84,2
-31,0,-97,-31
100,65,-70,65
59,42,35,42
37,-15,89,37
26,16,-39,16
98,-87,97,97
85,-92,-65,-65
94,-80,-39,-39
-57,-57,35,-57
-58,74,56,56
-9,30,-78,-9
-97,91,-42,-42
56,-66,-33,-33
-12,93,21,21
78,-29,-11,-11
63,29,55,55
-38,94,17,17
44,94,-96,44
54,82,-2,54
-47,-44,-93,-47
-67,-65,87,-65
-87,46,16,16
80,76,52,76
-94,37,-53,-53
-78,25,22,22
39,-83,61,39
14,20,10,14
-11,-100,-32,-32
-88,-33,-26,-33
48,-73,-83,-73
85,-91,38,38
-94,41,14,14
23,28,49,28
6,-43,-78,-43
99,-21,78,78
66,87,58,66
48,-97,3,3
-21,-48,40,-21
-11,-5,91,-5
-84,-68,-48,-68
-30,-88,-55,-55
15,-95,-80,-80
10,-75,-32,-32
27,-37,-91,-37
-38,-2,-5,-5
-84,76,-32,-32
-72,75,68,68
-53,51,28,28
-82,-27,26,-27
